theta,policy,mean_value,stderr_value,activation_rate,rejection_rate,mean_stop_time
-0.3,dynamic boundary,0.019037976881787523,0.0011074644120890958,0.8806,0.1194,1.2666773333333334
-0.3,static payoff threshold,-0.0008657163438911456,0.0006633545407962261,1.0,0.0,0.09147666666666668
-0.3,z-stat threshold,0.002583825265146287,0.0006264234292067198,0.1619,0.8381,1.8970420000000001
-0.2,dynamic boundary,-0.0003195946540308802,0.0007453696905653141,0.875,0.125,1.282796
-0.2,static payoff threshold,-0.0040031262788369016,0.00044221834111341976,1.0,0.0,0.09167
-0.2,z-stat threshold,-0.006669281806016416,0.0004012144132080242,0.1381,0.8619,1.911277333333333
-0.1,dynamic boundary,-0.011349884917905744,0.0003747028956385396,0.8636,0.1364,1.2967506666666668
-0.1,static payoff threshold,-0.005599899545603841,0.00022097819439272244,1.0,0.0,0.09253466666666667
-0.1,z-stat threshold,-0.01150332658482592,0.00020942910287777584,0.1291,0.8709,1.9183333333333337
0.0,dynamic boundary,-0.015619559169827449,5.236506082548551e-05,0.8695,0.1305,1.293252
0.0,static payoff threshold,-0.006364320381630008,3.9018430997835845e-06,1.0,0.0,0.09192133333333334
0.0,z-stat threshold,-0.013315469221831262,8.909418733187825e-05,0.1384,0.8616,1.914146
0.1,dynamic boundary,-0.011529543392252829,0.000377782386028921,0.8717,0.1283,1.291206
0.1,static payoff threshold,-0.0057859829187312545,0.00022116348473391896,1.0,0.0,0.09202933333333334
0.1,z-stat threshold,-0.011300979295649095,0.0002073658319989208,0.1295,0.8705,1.9145566666666665
0.2,dynamic boundary,-0.00013213850943871445,0.0007432857953599522,0.8762,0.1238,1.284532
0.2,static payoff threshold,-0.0034825189817222777,0.000442080946498143,1.0,0.0,0.09044066666666667
0.2,z-stat threshold,-0.007067593707949999,0.0003973392604917871,0.1406,0.8594,1.91268
0.3,dynamic boundary,0.018780842879596815,0.0011194480704640373,0.8837,0.1163,1.256402
0.3,static payoff threshold,-0.0007441401345572682,0.0006610485703678142,1.0,0.0,0.091606
0.3,z-stat threshold,0.0034024525943207764,0.0006496763599732759,0.1689,0.8311,1.889826666666667
